t,x1,x2,x3,x4
4.141414141,-0.75569038,1.545165132,0.376239483,-0.199461455
4.242424242,-0.949408399,0.817861552,0.715082571,-1.006018743
4.343434343,-1.083256703,1.66920393,-0.219559558,-0.656346557
4.444444444,-1.703578112,-0.380924123,-0.132997394,-0.246324115
4.545454545,-1.346020879,1.372495966,-0.266168037,0.169800901
4.646464646,-1.228147163,1.027862192,-0.902104306,-0.460333093
4.747474747,-0.470823445,0.847594216,-0.120782987,-0.214099409
4.848484848,-0.818944098,1.045572729,-0.234071098,-0.573725083
4.949494949,-1.853541903,-0.001688898,-0.454080759,-0.517739012
5.050505051,-0.781339274,0.864549046,-0.661314678,0.586729844
5.151515152,-1.097664656,1.125297466,0.248357077,0.956849833
5.252525253,-1.196099611,1.648392966,0.03170627,0.33814617
5.353535354,-0.495572478,0.60374437,0.524493126,0.967524856
5.454545455,-0.221512997,0.403269703,1.059928733,0.733435483
5.555555556,-0.199461455,0.493042886,0.276059925,0.311283071
5.656565657,-1.006018743,1.130443562,0.366783162,0.8893046
5.757575758,-0.656346557,0.759080969,1.359240515,1.545165132
5.858585859,-0.246324115,0.245725577,1.033326878,0.817861552
5.95959596,0.169800901,0.677934357,0.488225369,1.66920393
6.060606061,-0.460333093,0.376239483,1.060225485,-0.380924123
6.161616162,-0.214099409,0.715082571,0.615176717,1.372495966
6.262626263,-0.573725083,-0.219559558,0.663327324,1.027862192
6.363636364,-0.517739012,-0.132997394,1.057343861,0.847594216
6.464646465,0.586729844,-0.266168037,0.0103475,1.045572729
6.565656566,0.956849833,-0.902104306,0.125295776,-0.001688898
6.666666667,0.33814617,-0.120782987,0.717308462,0.864549046
6.767676768,0.967524856,-0.234071098,0.492555612,1.125297466
6.868686869,0.733435483,-0.454080759,1.146429903,1.648392966
6.96969697,0.311283071,-0.661314678,0.515543911,0.60374437
7.070707071,0.8893046,0.248357077,0.233769801,0.403269703
7.171717172,1.545165132,0.03170627,1.633529831,0.493042886
7.272727273,0.817861552,0.524493126,0.739418968,1.130443562
7.373737374,1.66920393,1.059928733,0.828984159,0.759080969
7.474747475,-0.380924123,0.276059925,0.017652137,0.245725577
7.575757576,1.372495966,0.366783162,0.385198884,0.677934357
7.676767677,1.027862192,1.359240515,0.63351388,0.376239483
7.777777778,0.847594216,1.033326878,-0.082674746,0.715082571
7.878787879,1.045572729,0.488225369,0.5904165,-0.219559558
7.97979798,-0.001688898,1.060225485,0.007889673,-0.132997394
8.080808081,0.864549046,0.615176717,0.064861673,-0.266168037
8.181818182,1.125297466,0.663327324,-0.189793268,-0.902104306
8.282828283,1.648392966,1.057343861,0.936418433,-0.120782987
8.383838384,0.60374437,0.0103475,-0.097354759,-0.234071098
8.484848485,0.403269703,0.125295776,-0.719423427,-0.454080759
8.585858586,0.493042886,0.717308462,0.122685397,-0.661314678
8.686868687,1.130443562,0.492555612,-0.994086017,0.248357077
8.787878788,0.759080969,1.146429903,-0.370398313,0.03170627
8.888888889,0.245725577,0.515543911,-1.540990499,0.524493126
8.98989899,0.677934357,0.233769801,-1.305853162,1.059928733
9.090909091,0.376239483,1.633529831,-0.617391881,0.276059925
9.191919192,0.715082571,0.739418968,-0.413354213,0.366783162
9.292929293,-0.219559558,0.828984159,-0.75569038,1.359240515
9.393939394,-0.132997394,0.017652137,-0.949408399,1.033326878
9.494949495,-0.266168037,0.385198884,-1.083256703,0.488225369
9.595959596,-0.902104306,0.63351388,-1.703578112,1.060225485
9.696969697,-0.120782987,-0.082674746,-1.346020879,0.615176717
9.797979798,-0.234071098,0.5904165,-1.228147163,0.663327324
9.898989899,-0.454080759,0.007889673,-0.470823445,1.057343861
10,-0.661314678,0.064861673,-0.818944098,0.0103475
